,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
63,ADS Fletcher (WI),2008-2018,42,42,22,21,1,10,11,3 (2ct 1st),0.523
64,WTS Porterfield (IRE),2008-2018,61,59,22,22,0,0,22,2 (2ct 0st),0.37200000000000005
65,PR Stirling (IRE),2009-2019,72,71,22,22,0,0,22,3 (3ct 0st),0.309
66,SCJ Broad (ENG),2006-2014,56,56,21,21,0,0,21,3 (3ct 0st),0.375
67,F du Plessis (SA/World),2012-2019,44,44,21,21,0,0,21,2 (2ct 0st),0.47700000000000004
68,SPD Smith (AUS),2010-2019,36,36,21,21,0,0,21,3 (3ct 0st),0.583
69,Asghar Afghan (AFG),2010-2019,66,66,20,20,0,0,20,2 (2ct 0st),0.303
70,MEK Hussey (AUS),2005-2012,38,38,20,20,0,0,20,3 (3ct 0st),0.526
71,RA Jadeja (INDIA),2009-2019,46,46,20,20,0,0,20,2 (2ct 0st),0.434
72,C Kieswetter (ENG),2010-2012,25,25,20,17,3,17,0,3 (2ct 1st),0.8
73,SL Malinga (SL),2006-2019,79,79,20,20,0,0,20,2 (2ct 0st),0.253
74,CO Obuya (KENYA),2007-2019,35,35,20,20,0,0,20,2 (2ct 0st),0.5710000000000001
75,L Siaka (PNG),2015-2019,26,26,20,20,0,0,20,4 (4ct 0st),0.769
76,LMP Simmons (WI),2007-2019,49,49,20,20,0,1,19,3 (3ct 0st),0.408
77,SR Watson (AUS),2006-2016,58,58,20,20,0,0,20,2 (2ct 0st),0.344
78,HM Amla (SA/World),2009-2018,44,44,19,19,0,0,19,2 (2ct 0st),0.431
79,CJ Anderson (NZ),2012-2018,31,31,19,19,0,0,19,4 (4ct 0st),0.612
80,MV Boucher (SA),2005-2010,25,25,19,18,1,18,0,3 (3ct 0st),0.76
81,CR Brathwaite (WI),2011-2019,41,41,19,19,0,0,19,2 (2ct 0st),0.46299999999999997
82,E Chigumbura (ZIM),2006-2019,54,54,19,19,0,0,19,2 (2ct 0st),0.35100000000000003
83,KJ Coetzer (SCOT),2008-2019,58,56,19,19,0,0,19,2 (2ct 0st),0.33899999999999997
84,KD Karthik (ICC/INDIA),2006-2019,32,31,19,14,5,6,8,3 (3ct 0st),0.612
85,R Mutumbami (ZIM),2015-2019,22,22,19,15,4,11,4,4 (4ct 0st),0.863
86,RR Patel (KENYA),2008-2019,30,30,19,19,0,0,19,3 (3ct 0st),0.633
87,Shakib Al Hasan (BDESH),2006-2019,76,75,19,19,0,0,19,2 (2ct 0st),0.253
88,BRM Taylor (ZIM),2006-2019,38,38,19,17,2,15,2,3 (3ct 0st),0.5
89,RE van der Merwe (NL/SA),2009-2019,43,42,19,19,0,0,19,2 (2ct 0st),0.452
90,C de Grandhomme (NZ),2012-2019,33,33,18,18,0,0,18,4 (4ct 0st),0.545
91,S Dhawan (INDIA),2011-2019,58,58,18,18,0,0,18,2 (2ct 0st),0.31
